method_1,method_2,frame,cosine_similarity,ssim
mul,avg,4,0.8957737684249878,0.22839364532724293
mul,avg,5,0.9108959436416626,0.3906672915199085
mul,avg,6,0.925347626209259,0.4097421926721181
mul,avg,7,0.8000678420066833,0.04942049362229408
mul,avg,8,0.7131001353263855,-0.016972867136334727
mul,avg,mean,0.8567762300372124,0.22292369383358954
mul,avg,std,0.06807251667627137,0.14325484022036095
mul,concat,1,0.7356767654418945,0.11848272218146391
mul,concat,2,0.7642706632614136,0.027108326411400922
mul,concat,3,0.9021816253662109,0.04398686037767526
mul,concat,4,0.944451093673706,0.18569955316892253
mul,concat,5,0.9227831959724426,0.21643231584367328
mul,concat,6,0.878657341003418,0.2765072284983835
mul,concat,7,0.9179137349128723,0.2600897722090587
mul,concat,8,0.9372556209564209,0.30030647258830767
mul,concat,mean,0.8753987550735474,0.17857665640986076
mul,concat,std,0.07520549661830876,0.09823763845433736
mul,late_fusion,1,0.7453911304473877,0.04822134408981174
mul,late_fusion,2,0.7754232287406921,-0.035097423891948934
mul,late_fusion,3,0.8887641429901123,0.0026132081939475877
mul,late_fusion,4,0.9383633732795715,0.14912873347820957
mul,late_fusion,5,0.9229139089584351,0.13976690895865418
mul,late_fusion,6,0.8685957193374634,0.121184384074718
mul,late_fusion,7,0.899202823638916,0.2561420842065499
mul,late_fusion,8,0.923112154006958,0.26860265217744245
mul,late_fusion,mean,0.870220810174942,0.11882023641092306
mul,late_fusion,std,0.06705683170029092,0.1029769042015215
mul,add,1,0.7877241969108582,0.16483559611867515
mul,add,2,0.9303233623504639,0.3551430771759333
mul,add,3,0.9504244327545166,0.4507632488403618
mul,add,4,0.965429961681366,0.4381236006440639
mul,add,5,0.9509171843528748,0.4306386835249255
mul,add,6,0.9287537336349487,0.2905453230663676
mul,add,7,0.9097244739532471,0.21066884907407227
mul,add,8,0.9036514759063721,0.27338442024001053
mul,add,mean,0.9158686026930809,0.32676284983555126
mul,add,std,0.052275473080928024,0.10200009828610501
avg,concat,1,0.8364228010177612,-0.037776511785178775
avg,concat,2,0.7726326584815979,0.03347916828275687
avg,concat,3,0.8259456753730774,-0.07324561403770481
avg,concat,4,0.8462638854980469,-0.11093063533145231
avg,concat,5,0.8789782524108887,0.0844074151527019
avg,concat,6,0.9143729209899902,0.24541764958999412
avg,concat,7,0.8084016442298889,-0.06113474271780089
avg,concat,8,0.7955780625343323,0.00021165063748380958
avg,concat,mean,0.8348244875669479,0.01005354747384999
avg,concat,std,0.04271420735492787,0.10636128928920234
avg,late_fusion,1,0.8137528300285339,-0.07031739681196109
avg,late_fusion,2,0.7944868803024292,0.07601115472027363
avg,late_fusion,3,0.8441574573516846,-0.031784596098893066
avg,late_fusion,4,0.8408553004264832,-0.12238058838063513
avg,late_fusion,5,0.874139666557312,0.06852580557381277
avg,late_fusion,6,0.902698814868927,0.18110198377587633
avg,late_fusion,7,0.8344653248786926,-0.010299405668779871
avg,late_fusion,8,0.7899367809295654,0.02839948583105961
avg,late_fusion,mean,0.8368116319179535,0.014907055367594145
avg,late_fusion,std,0.03593512419861542,0.08897897336570355
avg,add,1,0.8393765687942505,0.05989954834362371
avg,add,2,0.868128776550293,-0.031710022727234416
avg,add,3,0.8579609990119934,-0.01805446339956447
avg,add,4,0.8769301176071167,0.12944443065068145
avg,add,5,0.8756802082061768,0.3558459997953376
avg,add,6,0.8819765448570251,0.3432528555368258
avg,add,7,0.7731316089630127,-0.07023516728724756
avg,add,8,0.6220012903213501,-0.17350174186595058
avg,add,mean,0.8243982642889023,0.07436767988080893
avg,add,std,0.08333716252989949,0.17920505809698017
concat,late_fusion,1,0.9244869351387024,0.3020461778093549
concat,late_fusion,2,0.8981472253799438,0.48744497910242623
concat,late_fusion,3,0.9516810774803162,0.5331495253620517
concat,late_fusion,4,0.9672443866729736,0.5183122567959073
concat,late_fusion,5,0.9450413584709167,0.514721898307579
concat,late_fusion,6,0.8956260681152344,0.3324419025415294
concat,late_fusion,7,0.8861247301101685,0.21535728260667952
concat,late_fusion,8,0.9302264451980591,0.3208595848772208
concat,late_fusion,mean,0.9248222783207893,0.40304170092534364
concat,late_fusion,std,0.02743318342677778,0.1156370913590255
concat,add,1,0.8707646131515503,0.3959202014809096
concat,add,2,0.7556214928627014,-0.1128712032067309
concat,add,3,0.88796067237854,0.07484730662258103
concat,add,4,0.9249781966209412,0.1827839297878245
concat,add,5,0.8713314533233643,0.21851409393444512
concat,add,6,0.8334824442863464,0.16636898937980774
concat,add,7,0.8923615217208862,0.2655227010318819
concat,add,8,0.8927155137062073,0.19255471438782187
concat,add,mean,0.8661519885063171,0.17295509167731762
concat,add,std,0.04829737920481197,0.13793284667093053
late_fusion,add,1,0.8728974461555481,0.20286743722463002
late_fusion,add,2,0.789048969745636,-0.0020737618380958886
late_fusion,add,3,0.8657643795013428,0.07882957088566205
late_fusion,add,4,0.9145509600639343,0.11269788269914743
late_fusion,add,5,0.8867419362068176,0.23404198964365333
late_fusion,add,6,0.8150621056556702,0.15036290166555194
late_fusion,add,7,0.8331719636917114,0.11395171078245027
late_fusion,add,8,0.8635281324386597,0.10078177201596916
late_fusion,add,mean,0.855095736682415,0.12393243788487104
late_fusion,add,std,0.037887581223556864,0.0686722572978071
